"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"69","Katrine Toft Mikkelsen",187,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns "," Brønshøj"," Ukendt"," Cand.scient.pol. "," 2700 Brønshøj"," Kvinde "," Nej ","7.","12 ",2438,"","9"
"70","Uffe Elbæk",18796,"Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Ukendt"," 61"," Fhv. minister "," 1826 Frederiksberg C"," Mand "," Ja ","Alle","Alle",37478,"1K",""
"71","Nilas Bay-Foged",353,"Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Ukendt"," Ukendt"," Cand.scient.adm "," 2300 København S"," Mand "," Nej ","Alle","",708,"","5"
"72","Rolf Bjerre",991,"Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","alternativet","Københavns "," Nørrebro, Brønshøj"," 36"," Timebankskoordinator "," 2200 København N"," Mand "," Nej ","Alle","",1996,"","1"
"73","Morten Ellehauge",186,"Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Nørrebro"," Ukendt"," Leder "," 2200 København N"," Mand "," Nej ","Alle","",374,"","8"
"74","Erik Valentin Fischer",172,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Sundbyvester"," 42"," Handelslærer "," 2300 København S"," Mand "," Nej ","Alle","",343,"","9"
"75","Jan Kristoffersen",171,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Delvist enig","alternativet","Københavns "," Ukendt"," Ukendt"," Selvstændig "," 2720 Vanløse"," Mand "," Nej ","Alle","",343,"","10"
"76","Carolina Magdalene Maier",1073,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Slots"," 42"," Centerleder, Videnscenter for Patientstøtte ","  Frederiksberg"," Kvinde "," Nej ","Alle","",2143,"2K",""
"77","Jacob Fuglsang Mikkelsen",194,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Sundbyøster"," 43"," Kunstner "," 2300 København S"," Mand "," Nej ","Alle","",387,"","7"
"78","Franciska Rosenkilde",766,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Vesterbro"," Ukendt"," Arbejdssøgende ","  København V"," Kvinde "," Nej ","Alle","",1534,"","3"
"79","Kashif Ahmad",0,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","uden for folketingsgrupperne","Københavns "," Nørrebro"," Ukendt"," Byrådsmedlem "," Ukendt"," Mand "," Nej ","5.","",708,"",""
"80","Jan Elkjær",0,"Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","uden for folketingsgrupperne","Københavns "," Vesterbro"," Ukendt"," Ukendt ","  København V"," Mand "," Nej ","9.","",14,"",""
"81","John Erik Wagner",0,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","uden for folketingsgrupperne","Københavns "," Sundbyvester, Sundbyøster"," 52"," Modedesigner "," 2300 København S"," Mand "," Ja ","2. 4.","",82,"",""
"82","Jesper Hostrup Hansen",133,"Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","socialdemokraterne","Københavns Omegns "," Gentofte"," Ukendt"," Bachelor i filosofi og sprogvidenskab "," 2920 Charlottenlund"," Mand "," Nej ","Alle","1",243,"","4"
"83","Jeppe Bruus",2806,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Københavns Omegns "," Gladsaxe"," 37"," Kommunikationschef "," 2300 København S"," Mand "," Ja ","Alle","3",5172,"","1"
"84","Morten Bødskov",5935,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","socialdemokraterne","Københavns Omegns "," Rødovre"," 45"," Fhv. minister "," 2300 København S"," Mand "," Ja ","Alle","4",10496,"4K",""
"85","Kenneth F. Christensen",1466,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","socialdemokraterne","Københavns Omegns "," Hvidovre"," 39"," Konsulent "," 2650 Hvidovre"," Mand "," Ja ","Alle","5",2788,"","2"
"86","Mette Frederiksen",24486,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Københavns Omegns "," Ballerup"," 38"," Justitsminister "," 2750 Ballerup"," Kvinde "," Ja ","Alle","8",42676,"1K",""
"87","Mogens Lykketoft",6795,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","socialdemokraterne","Københavns Omegns "," Taastrup"," 69"," Folketingets formand, fhv. minister "," 2930 Klampenborg"," Mand "," Ja ","Alle","7",12106,"3K",""
"88","Simon Pihl Sørensen",1034,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","socialdemokraterne","Københavns Omegns "," Lyngby"," 49"," cand.jur. "," 2830 Virum"," Mand "," Nej ","Alle","2",1923,"","3"
"89","Mattias Tesfaye",8545,"Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","socialdemokraterne","Københavns Omegns "," Brøndby"," 34"," Murersvend "," 2300 København S"," Mand "," Nej ","Alle","6",14957,"2K",""
"90","Sofie Carsten Nielsen",4303,"Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Københavns Omegns "," Gentofte"," 40"," Uddannelses- og Forskningsminister "," 2200 København N"," Kvinde "," Ja ","Alle","1",10163,"1T",""
"91","Michael Blem Clausen",347,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns Omegns "," Brøndby"," 40"," Lærer "," 2640 Hedehusene"," Mand "," Nej ","Alle","6",797,"","3"
"92","Özkan Ekiz",1113,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Københavns Omegns "," Ukendt"," Ukendt"," Køreskolelærer "," 2660 Brøndby Strand"," Mand "," Nej ","Alle","4",2580,"","1"
"93","Helge Vagn Jacobsen",276,"Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns Omegns "," Lyngby"," 52"," Vicedirektør "," 3050 Humlebæk"," Mand "," Ja ","Alle","2",649,"","5"
"94","Susanne Wad Leth",248,"Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns Omegns "," Hvidovre"," Ukendt"," Ukendt "," 2650 Hvidovre"," Kvinde "," Nej ","Alle","5",621,"","6"
"95","Jacob Juul Pedersen",314,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","radikale venstre","Københavns Omegns "," Taastrup"," Ukendt"," Jurist "," 2620 Albertslund"," Mand "," Nej ","Alle","7",705,"","4"
"96","Andreas Pourkamali",344,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Københavns Omegns "," Gladsaxe"," Ukendt"," cand.jur. "," 2200 København N"," Mand "," Nej ","Alle","3",818,"","2"
"97","Cheri-Mae M. Williamson",153,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns Omegns "," Ballerup"," Ukendt"," Sygeplejerske "," 2860 Søborg"," Kvinde "," Ja ","Alle","8",377,"","7"
"98","Rasmus Jarlov",3419,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","det konservative folkeparti","Københavns Omegns "," Lyngby, Rødovre"," 38"," Selvstændig "," 2400 København NV"," Mand "," Ja ","Alle","2 4",6362,"1T",""
"99","Merete Scheelsbeck",1833,"Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","det konservative folkeparti","Københavns Omegns "," Brøndby, Taastrup"," Ukendt"," Kommunikationsmedarbejder "," 2630 Taastrup"," Kvinde "," Nej ","Alle","6 7",3127,"","1"
"100","Henrik Sørensen",200,"Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","det konservative folkeparti","Københavns Omegns "," Gladsaxe"," 49"," Specialkonsulent "," 2860 Søborg"," Mand "," Ja ","Alle","3",390,"","4"
"101","Lise Müller",624,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns Omegns "," Gentofte"," 41"," Klinisk sygeplejevejleder "," 2920 Charlottenlund"," Kvinde "," Nej ","Alle","1",1579,"","3"
"102","Anders Wolf Andresen",303,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns Omegns "," Hvidovre"," 31"," Udviklingskonsulent "," 2650 Hvidovre"," Mand "," Nej ","Alle","5",749,"","7"
"103","Serdal Benli",1661,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialistisk folkeparti","Københavns Omegns "," Gladsaxe"," 36"," Viceborgmester/konsulent, cand.scient.soc. "," 2880 Bagsværd"," Mand "," Ja ","Alle","3",3703,"","1"
"104","Dorete Dandanell",476,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns Omegns "," Lyngby"," Ukendt"," Chefkonsulent "," 2830 Virum"," Kvinde "," Nej ","Alle","2",1123,"","4"
"105","Arly Eskildsen",309,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Københavns Omegns "," Rødovre"," 60"," Organisationskonsulent "," 2730 Herlev"," Mand "," Ja ","Alle","4",794,"","6"
"106","Bilal Inekci",480,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Københavns Omegns "," Brøndby"," 57"," Socialrådgiver "," 2635 Ishøj"," Mand "," Ja ","Alle","6",991,"","5"
"107","Morten Normann Jørgensen",707,"Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt enig","Hverken enig eller uenig","socialistisk folkeparti","Københavns Omegns "," Ballerup"," 26"," Viceborgmester "," 2800 Kgs. Lyngby"," Mand "," Ja ","Alle","8",1715,"","2"
"108","Jan Kjær",107,"Helt uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","socialistisk folkeparti","Københavns Omegns "," Taastrup"," Ukendt"," Ukendt "," 2640 Hedehusene"," Mand "," Nej ","Alle","",242,"","8"
"109","Holger K. Nielsen",1578,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig","socialistisk folkeparti","Københavns Omegns "," Taastrup"," 65"," Fhv. minister "," 2500 Valby"," Mand "," Ja ","Alle","7",3723,"1T",""
"110","Poul V. Jensen",470,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns Omegns "," Storkredskandidat"," 56"," Selvstændig "," 2900 Hellerup"," Mand "," Ja ","Alle","1",1401,"","3"
"111","Sahar Aslani",353,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig","liberal alliance","Københavns Omegns "," Ukendt"," 43"," Pædagog "," 2860 Søborg"," Kvinde "," Nej ","Alle","",1119,"","4"
"112","Anne Jeremiassen",335,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","liberal alliance","Københavns Omegns "," Storkredskandidat"," Ukendt"," Fuldmægtig "," 2800 Kgs. Lyngby"," Kvinde "," Nej ","Alle","",1006,"","5"
"113","Joachim B. Olsen",4259,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","liberal alliance","Københavns Omegns "," Storkredskandidat"," 38"," Tidl. professionel sportsudøver "," 2860 Søborg"," Mand "," Ja ","Alle","2 3 4 5 6 7 8",13120,"1K",""
"114","Michele Fejø",283,"Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","liberal alliance","Københavns Omegns "," Storkredskandidat"," 46"," Specialkonsulent "," 2880 Bagsværd"," Kvinde "," Ja ","Alle","",886,"","6"
