Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Lotte Rod,2316,Hverken enig eller uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Delvist uenig,radikale venstre,Sydjyllands ," Esbjerg by, Vejle syd", 30, cand.scient.pol. , 2300 København S, Kvinde , Ja 
John Bach Thygesen,174,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,radikale venstre,Sydjyllands , Esbjerg omegn, Ukendt, Maskintekniker , 6870 Ølgod, Mand , Nej 
Mike Legarth,4031,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,det konservative folkeparti,Sydjyllands , Sønderborg, 55," MF, direktør ", 6580 Vamdrup, Mand , Ja 
Dan Arnløv,396,Helt enig,Helt uenig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,det konservative folkeparti,Sydjyllands , Esbjerg omegn, Ukendt, Byrådsmedlem , 7100 Vejle, Mand , Nej 
Tine Roos Nørgård,490,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Helt uenig,det konservative folkeparti,Sydjyllands , Aabenraa, Ukendt, Afdelingsleder , 6000 Kolding, Kvinde , Nej 
Tina Franson Spile,307,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,det konservative folkeparti,Sydjyllands , Tønder, Ukendt, Controller , 6430 Nordborg, Kvinde , Nej 
Peder Tørnqvist,298,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt uenig,det konservative folkeparti,Sydjyllands , Esbjerg by, 54, Jobkonsulent , 6760 Ribe, Mand , Nej 
Dennis Ørsted Petersen,207,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,socialistisk folkeparti,Sydjyllands , Sønderborg, 27, Faglig konsulent , 6400 Sønderborg, Mand , Nej 
Brian Bruhn,187,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Sydjyllands , Vejle nord, 41, Tek. Serviceleder , 7100 Vejle, Mand , Ja 
Ida Damborg,905,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,socialistisk folkeparti,Sydjyllands , Esbjerg by, 46, Projektleder , 6000 Kolding, Kvinde , Ja 
Karina Lorentzen Dehnhardt,3169,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,socialistisk folkeparti,Sydjyllands , Kolding syd, 42, Folkeskolelærer , 6000 Kolding, Kvinde , Ja 
Hans Holmer,165,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Sydjyllands , Kolding nord, Ukendt, Fuldmægtig , 6000 Kolding, Mand , Nej 
Claus Larsen,109,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Sydjyllands , Varde, 57, Faglærer , 6800 Varde, Mand , Nej 
Susanne Mathiesen,383,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,socialistisk folkeparti,Sydjyllands , Vejen, Ukendt, Centerchef , 7200 Grindsted, Kvinde , Nej 
