"name","age","party","votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","MILJØ__Indsatsen for at forbedre miljøet skal gå forud for økonomisk vækst","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Sofie Carsten Nielsen",40,"b",4303,"Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Michael Blem Clausen",40,"b",347,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Özkan Ekiz",32,"b",1113,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Helge Vagn Jacobsen",52,"b",276,"Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Susanne Wad Leth",39,"b",248,"Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Jacob Juul Pedersen",43,"b",314,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig"
"Andreas Pourkamali",32,"b",344,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Cheri-Mae M. Williamson",48,"b",153,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Casper Strunge",42,"c",1137,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig"
"Rasmus Jarlov",38,"c",3419,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig"
"Mads Holger Norgaard",37,"c",977,"Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig"
"Merete Scheelsbeck",29,"c",1833,"Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig"
"Henrik Sørensen",49,"c",200,"Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig"
"Lise Müller",41,"f",624,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Anders Wolf Andresen",31,"f",303,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig"
"Serdal Benli",36,"f",1661,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Dorete Dandanell",64,"f",476,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig"
"Arly Eskildsen",60,"f",309,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Bilal Inekci",56,"f",480,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Morten Normann Jørgensen",26,"f",707,"Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Jan Kjær",38,"f",107,"Helt uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Holger K. Nielsen",65,"f",1578,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Poul V. Jensen",56,"i",470,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Sahar Aslani",42,"i",353,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig"
"Charlotte Bircow Næss-Schmidt",54,"i",1366,"Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Anne Jeremiassen",39,"i",335,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig"
"Joachim B. Olsen",38,"i",4259,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Frank Dahlgaard",69,"i",667,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Michele Fejø",46,"i",283,"Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig"
"Søren Kreilgaard",44,"i",52,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Michael Melchert",42,"i",228,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Tine Nørrekær",51,"i",190,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Carsten Zacho",47,"i",209,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Jihmmy Bach-Friis",53,"k",102,"Helt enig","Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig"
"Kim Grenov",0,"k",299,"Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig"
"Sara Sejergaard",39,"k",187,"Helt enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig"
"Anna Hede Christensen",23,"o",996,"Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig"
"Kenneth Kristensen Berth",38,"o",1348,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Mikkel Dencker",39,"o",1536,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig"
"Aia Fog",48,"o",420,"Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig"
"Pia Kjærsgaard",68,"o",26583,"Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig"
"Helge Larsen",65,"o",391,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Anette Skafte",50,"o",531,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig"
"Kristian Tørning",42,"o",1110,"Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig"
"Morten Munk Ebbesen",53,"v",307,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig"
"Ömer Ciftci",43,"v",594,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig"
"Karen Ellemann",46,"v",7020,"Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Jakob Engel-Schmidt",31,"v",2296,"Delvist enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig"
"Mads Fuglede",44,"v",1968,"Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig"
"Karl-Erik Høholt Jensen",58,"v",649,"Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig"
"Morten Løkkegaard",50,"v",4676,"Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig"
"Tina Nedergaard",46,"v",1287,"Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Jeanne Guldbrand Toxværd",55,"oe",547,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Helt enig","Delvist uenig"
"Søren Søndergaard",60,"oe",3038,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Pia Boisen",59,"oe",1139,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Jens Wenzel Andreasen",45,"oe",330,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Peter Mikkelsen",58,"oe",320,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Annika Holm Nielsen",25,"oe",551,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Tobias Clausen",29,"oe",349,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Ulla Sandbæk",72,"aa",1233,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Qasam N. Ahmad",35,"aa",786,"Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Ryan Lund",41,"aa",328,"Helt uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig"
"Bo Steen Mikkelsen",33,"aa",507,"Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Anders Stjernholm",34,"aa",1153,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Christian Olesen",29,"1",0,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Delvist uenig"
"Pernille Schnoor",48,"a",3811,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Christine Antorini",50,"a",8193,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Nick Hækkerup",47,"a",11546,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Miki Dam Larsen",28,"a",1228,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig"
"Malou Lunderød",29,"a",3738,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Camilla Kampmann",47,"b",352,"Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
